#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.geneSymbol	hg38.kgXref.description
chr9	12133	13783	DDX11L5	DEAD/H-box helicase 11 like 5 (from HGNC DDX11L5)
chr9	14520	29739	WASHC1	Homo sapiens WASH complex subunit 1 (WASHC1), mRNA. (from RefSeq NM_182905)
chr9	27656	30891	AL928970.1	AL928970.1 (from geneSymbol)
chr9	30143	30281	MIR1302-9	Homo sapiens microRNA 1302-9 (MIR1302-9), microRNA. (from RefSeq NR_036266)
chr9	34487	37269	FAM138C	family with sequence similarity 138 member C (from HGNC FAM138C)
chr9	52451	73374	AL449043.2	AL449043.2 (from geneSymbol)
chr9	72673	87667	PGM5P3-AS1	PGM5P3 antisense RNA 1 (from HGNC PGM5P3-AS1)
chr9	100993	102941	AL449043.1	Homo sapiens chromosome 9 teolomeric mRNA sequence. (from mRNA AY343902)
chr9	112712	113754	LINC01388	long intergenic non-protein coding RNA 1388 (from HGNC LINC01388)
chr9	116230	118204	FOXD4	Homo sapiens forkhead box D4 (FOXD4), mRNA. (from RefSeq NM_207305)
chr9	121040	179147	CBWD1	  Q9P003:CNIH4; NbExp=1; IntAct=EBI-1054417, EBI-1044341;  P48507:GCLM; NbExp=1; IntAct=EBI-1054417, EBI-1051387;  P53582:METAP1; NbExp=1; IntAct=EBI-1054417, EBI-1051435;  P51571:SSR4; NbExp=1; IntAct=EBI-1054417, EBI-1054539; (from UniProt Q9BRT8)
chr9	213107	215893	C9orf66	Homo sapiens chromosome 9 open reading frame 66 (C9orf66), mRNA. (from RefSeq NM_152569)
chr9	214864	465259	DOCK8	Homo sapiens dedicator of cytokinesis 8 (DOCK8), transcript variant 1, mRNA. (from RefSeq NM_203447)
chr9	267965	273002	AL158832.1	AL158832.1 (from geneSymbol)
chr9	456203	470816	AL161725.1	AL161725.1 (from geneSymbol)
chr9	470290	746105	KANK1	Homo sapiens KN motif and ankyrin repeat domains 1 (KANK1), transcript variant 8, mRNA. (from RefSeq NM_001354334)
chr9	477749	478423	RPL12P25	ribosomal protein L12 pseudogene 25 (from HGNC RPL12P25)
chr9	487773	495610	AL161725.2	AL161725.2 (from geneSymbol)
chr9	547317	549531	AL392089.1	Homo sapiens mRNA for Kank protein isoform-L, partial cds. (from mRNA AB205109)
chr9	558825	558930	RNU6-1327P	RNA, U6 small nuclear 1327, pseudogene (from HGNC RNU6-1327P)
chr9	659985	660326	EIF1P1	eukaryotic translation initiation factor 1 pseudogene 1 (from HGNC EIF1P1)
chr9	673477	685555	AL136979.1	AL136979.1 (from geneSymbol)
chr9	841689	969090	DMRT1	Homo sapiens doublesex and mab-3 related transcription factor 1 (DMRT1), transcript variant 1, mRNA. (from RefSeq NM_021951)
chr9	976963	991731	DMRT3	Homo sapiens doublesex and mab-3 related transcription factor 3 (DMRT3), mRNA. (from RefSeq NM_021240)
chr9	1001857	1001963	RNU6-1073P	RNA, U6 small nuclear 1073, pseudogene (from HGNC RNU6-1073P)
chr9	1011084	1011799	AL358976.1	AL358976.1 (from geneSymbol)
chr9	1045624	1048641	LINC01230	long intergenic non-protein coding RNA 1230 (from HGNC LINC01230)
chr9	1050353	1057550	DMRT2	Homo sapiens doublesex and mab-3 related transcription factor 2 (DMRT2), transcript variant 3, mRNA. (from RefSeq NM_181872)
chr9	1151806	1152140	AL356498.1	AL356498.1 (from geneSymbol)
chr9	1164413	1164867	RPS27AP14	ribosomal protein S27a pseudogene 14 (from HGNC RPS27AP14)
chr9	1328663	1328987	AL358934.1	AL358934.1 (from geneSymbol)
chr9	1333836	1333953	RNA5SP279	RNA, 5S ribosomal pseudogene 279 (from HGNC RNA5SP279)
chr9	1977783	1978547	AL591644.1	AL591644.1 (from geneSymbol)
chr9	2015218	2193574	SMARCA2	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 (SMARCA2), transcript variant 4, mRNA. (from RefSeq NM_001289397)
chr9	2041899	2046023	AL359076.1	AL359076.1 (from geneSymbol)
chr9	2162762	2162953	RNU2-25P	RNA, U2 small nuclear 25, pseudogene (from HGNC RNU2-25P)
chr9	2228960	2229241	RN7SL592P	RNA, 7SL, cytoplasmic 592, pseudogene (from HGNC RN7SL592P)
chr9	2421596	2621386	VLDLR-AS1	VLDLR antisense RNA 1 (from HGNC VLDLR-AS1)
chr9	2541096	2541635	AL353614.1	AL353614.1 (from geneSymbol)
chr9	2621833	2660053	VLDLR	Homo sapiens very low density lipoprotein receptor (VLDLR), transcript variant 1, mRNA. (from RefSeq NM_003383)
chr9	2717501	2730037	KCNV2	Homo sapiens potassium voltage-gated channel modifier subfamily V member 2 (KCNV2), mRNA. (from RefSeq NM_133497)
chr9	2804163	2844241	PUM3	Homo sapiens pumilio RNA binding family member 3 (PUM3), mRNA. (from RefSeq NM_014878)
chr9	2875441	2876427	GPS2P1	G protein pathway suppressor 2 pseudogene 1 (from HGNC GPS2P1)
chr9	2900319	2900804	ATP5PDP2	ATP synthase peripheral stalk subunit d pseudogene 2 (from HGNC ATP5PDP2)
chr9	2907072	3053408	CARM1P1	coactivator associated arginine methyltransferase 1 pseudogene 1 (from HGNC CARM1P1)
chr9	3181588	3198517	LINC01231	long intergenic non-protein coding RNA 1231 (from HGNC LINC01231)
chr9	3218301	3526001	RFX3	Homo sapiens regulatory factor X3 (RFX3), transcript variant 3, mRNA. (from RefSeq NM_001282116)
chr9	3364328	3364792	AL354941.1	JP 2014500723-A/18795: Polycomb-Associated Non-Coding RNAs. (from mRNA LF211292)
chr9	3526722	3671634	RFX3-AS1	RFX3 antisense RNA 1 (from HGNC RFX3-AS1)
chr9	3647334	3648338	AL354977.2	AL354977.2 (from geneSymbol)
chr9	3684075	3689626	AL354977.1	AL354977.1 (from geneSymbol)
chr9	3824126	4152183	GLIS3	Homo sapiens GLIS family zinc finger 3 (GLIS3), transcript variant 2, mRNA. (from RefSeq NM_152629)
chr9	3875583	3878809	AL137071.1	AL137071.1 (from geneSymbol)
chr9	3898641	3901248	GLIS3-AS1	Homo sapiens GLIS3 antisense RNA 1 (GLIS3-AS1), long non-coding RNA. (from RefSeq NR_026663)
chr9	4070905	4071884	AL359095.1	AL359095.1 (from geneSymbol)
chr9	4299389	4306046	AL162419.1	Homo sapiens, clone IMAGE:5721950, mRNA. (from mRNA BC040616)
chr9	4386409	4386556	RNU6-694P	RNA, U6 small nuclear 694, pseudogene (from HGNC RNU6-694P)
chr9	4490443	4587469	SLC1A1	Homo sapiens solute carrier family 1 member 1 (SLC1A1), mRNA. (from RefSeq NM_004170)
chr9	4600519	4666347	SPATA6L	The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F8W9P2)
chr9	4633026	4633756	AL136231.1	AL136231.1 (from geneSymbol)
chr9	4662314	4665258	PLPP6	Homo sapiens phospholipid phosphatase 6 (PLPP6), mRNA. (from RefSeq NM_203453)
chr9	4676599	4679471	CDC37L1-DT	Homo sapiens CDC37L1 divergent transcript (CDC37L1-DT), transcript variant 2, long non-coding RNA. (from RefSeq NR_121598)
chr9	4679565	4708398	CDC37L1	Homo sapiens cell division cycle 37 like 1 (CDC37L1), mRNA. (from RefSeq NM_017913)
chr9	4711154	4741318	AK3	Homo sapiens adenylate kinase 3 (AK3), transcript variant 1, mRNA. (from RefSeq NM_016282)
chr9	4768616	4769895	ECM1P1	extracellular matrix protein 1 pseudogene 1 (from HGNC ECM1P1)
chr9	4781474	4782078	AL353151.1	AL353151.1 (from geneSymbol)
chr9	4792868	4861064	RCL1	Homo sapiens RNA terminal phosphate cyclase like 1 (RCL1), transcript variant 1, mRNA. (from RefSeq NM_005772)
chr9	4803787	4804972	KLF4P1	Kruppel like factor 4 pseudogene 1 (from HGNC KLF4P1)
chr9	4850296	4850375	MIR101-2	Homo sapiens microRNA 101-2 (MIR101-2), microRNA. (from RefSeq NR_029836)
chr9	4850298	4850373	AL158147.1	JP 2015535430-A/1139: TERMINALLY MODIFIED RNA. (from mRNA HZ480633)
chr9	4944669	4945902	HNRNPA1P41	heterogeneous nuclear ribonucleoprotein A1 pseudogene 41 (from HGNC HNRNPA1P41)
chr9	4985244	5128183	JAK2	Homo sapiens Janus kinase 2 (JAK2), transcript variant 1, mRNA. (from RefSeq NM_004972)
chr9	5040944	5041940	CSNK1G2P1	casein kinase 1 gamma 2 pseudogene 1 (from HGNC CSNK1G2P1)
chr9	5084998	5086112	PDSS1P1	decaprenyl diphosphate synthase subunit 1 pseudogene 1 (from HGNC PDSS1P1)
chr9	5091092	5091604	MTND6P5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 5 (from HGNC MTND6P5)
chr9	5094138	5095014	MTND1P11	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 11 (from HGNC MTND1P11)
chr9	5096665	5098193	MTCO1P11	mitochondrially encoded cytochrome c oxidase I pseudogene 11 (from HGNC MTCO1P11)
chr9	5098340	5099325	MTCO2P11	mitochondrially encoded cytochrome c oxidase II pseudogene 11 (from HGNC MTCO2P11)
chr9	5099559	5100229	MTATP6P11	mitochondrially encoded ATP synthase 6 pseudogene 11 (from HGNC MTATP6P11)
chr9	5100235	5101009	MTCO3P11	mitochondrially encoded cytochrome c oxidase III pseudogene 11 (from HGNC MTCO3P11)
chr9	5107936	5109290	MTND4P14	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 14 (from HGNC MTND4P14)
chr9	5109495	5110762	MTND5P14	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 14 (from HGNC MTND5P14)
chr9	5110912	5112849	TCF3P1	transcription factor 3 pseudogene 1 (from HGNC TCF3P1)
chr9	5113548	5114804	IGHEP2	immunoglobulin heavy constant epsilon P2 (pseudogene) (from HGNC IGHEP2)
chr9	5163862	5185668	INSL6	Homo sapiens insulin like 6 (INSL6), mRNA. (from RefSeq NM_007179)
chr9	5193338	5193558	AL133547.1	AL133547.1 (from geneSymbol)
chr9	5231418	5235304	INSL4	Homo sapiens insulin like 4 (INSL4), mRNA. (from RefSeq NM_002195)
chr9	5299867	5304969	RLN2	Homo sapiens relaxin 2 (RLN2), transcript variant 1, mRNA. (from RefSeq NM_134441)
chr9	5311443	5311716	HMGN2P31	high mobility group nucleosomal binding domain 2 pseudogene 31 (from HGNC HMGN2P31)
